Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
0,0,587,540,1019,104.3456
0,1,994,269,1331,136.2944
0,2,1170,629,1136,116.3264
0,3,995,485,2779,284.56960000000004
0,4,222,512,706,72.29440000000001
0,5,939,543,1691,173.1584
0,6,1212,652,3401,348.2624
0,7,700,527,1083,110.89920000000001
0,8,179,565,3215,329.216
0,9,942,424,884,90.5216
0,10,270,328,802,82.12480000000001
0,11,1248,676,897,91.8528
0,12,202,171,943,96.56320000000001
0,13,908,354,873,89.3952
1,0,581,542,1001,102.50240000000001
1,1,976,255,2207,225.9968
1,2,1216,644,3112,318.66880000000003
1,3,916,351,855,87.552
1,4,222,511,747,76.4928
1,5,994,476,2343,239.9232
1,6,936,541,1569,160.6656
1,7,1226,641,971,99.4304
1,8,703,521,1023,104.7552
1,9,181,558,3549,363.4176
1,10,639,383,806,82.5344
1,11,1184,628,1084,111.00160000000001
1,12,786,534,1286,131.68640000000002
1,13,631,490,1025,104.96000000000001
1,14,202,167,971,99.4304
1,15,940,426,826,84.5824
2,0,967,244,2527,258.76480000000004
2,1,1001,478,2498,255.79520000000002
2,2,183,559,3767,385.74080000000004
3,0,1003,483,2889,295.8336
3,1,182,561,2991,306.27840000000003
4,0,1002,484,2602,266.4448
4,1,182,564,3153,322.8672
4,2,1248,662,826,84.5824
5,0,907,162,626,64.1024
5,1,589,429,774,79.25760000000001
5,2,361,416,725,74.24000000000001
5,3,291,496,896,91.7504
5,4,820,144,929,95.12960000000001
5,5,263,311,806,82.5344
5,6,711,241,862,88.2688
5,7,675,192,835,85.504
5,8,705,182,594,60.8256
5,9,253,164,634,64.9216
5,10,1250,665,800,81.92
5,11,416,414,640,65.536
5,12,542,557,960,98.304
5,13,812,176,737,75.4688
5,14,105,328,201,20.5824
5,15,495,318,626,64.1024
5,16,196,491,731,74.8544
5,17,362,77,904,92.56960000000001
5,18,300,442,888,90.9312
5,19,839,125,658,67.3792
5,20,999,483,2674,273.8176
5,21,778,305,616,63.0784
5,22,695,153,1008,103.2192
5,23,893,85,801,82.0224
5,24,835,312,649,66.4576
5,25,286,118,751,76.9024
5,26,567,440,579,59.2896
5,27,418,340,852,87.2448
5,28,933,523,879,90.0096
5,29,312,267,555,56.832
