epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51124,5.24194,5.00339,1.54801,0.00178,0.00549,0.00089,0.0002,3.92593,3.70062,0.86267,0.00026,0.00026,0.00026
2,6.12717,3.36723,2.7298,0.84623,0.00233,0.00721,0.00119,0.00023,3.22261,3.60297,0.83979,0.000529308,0.000529308,0.000529308
3,7.77025,2.99249,2.01243,0.81789,0.01072,0.03314,0.00597,0.00151,3.86406,3.37694,0.84447,0.000787528,0.000787528,0.000787528
4,9.25769,2.69219,1.73658,0.80683,0.02189,0.06765,0.01992,0.00795,3.71824,3.1785,0.83268,0.00103466,0.00103466,0.00103466
5,10.7458,2.72687,1.72149,0.7966,0.04167,0.12878,0.0248,0.00564,3.8428,2.88527,0.85676,0.0012707,0.0012707,0.0012707
6,12.1641,2.61126,1.58935,0.79729,0.09944,0.30735,0.09472,0.02553,3.12956,2.55553,0.81759,0.00149566,0.00149566,0.00149566
7,13.7869,2.66407,1.61529,0.79152,0.07144,0.22081,0.06928,0.01298,3.78619,2.33466,0.83499,0.00170953,0.00170953,0.00170953
8,15.2139,2.51863,1.55108,0.78931,0.01156,0.03571,0.00721,0.00116,4.64561,2.25046,0.86926,0.0017228,0.0017228,0.0017228
9,16.6277,2.47502,1.50692,0.79136,0.42164,0.3362,0.28083,0.09712,2.26385,1.57045,0.80604,0.0016832,0.0016832,0.0016832
10,18.1865,2.33078,1.46793,0.78695,0.43365,0.32,0.29242,0.08916,2.54909,1.54343,0.80743,0.0016436,0.0016436,0.0016436
11,19.7894,2.37041,1.4645,0.79119,0.42787,0.29035,0.25887,0.08119,2.52299,1.52076,0.80864,0.001604,0.001604,0.001604
12,21.398,2.31882,1.43324,0.78815,0.34968,0.30598,0.21409,0.04677,3.1689,1.44386,0.81988,0.0015644,0.0015644,0.0015644
13,22.7939,2.25028,1.39981,0.78187,0.40608,0.41277,0.30868,0.10073,2.43182,1.35356,0.80589,0.0015248,0.0015248,0.0015248
14,24.2052,2.28102,1.38665,0.78396,0.31841,0.2749,0.18757,0.04152,3.18343,1.48649,0.81415,0.0014852,0.0014852,0.0014852
15,25.5892,2.35921,1.41245,0.78065,0.42275,0.41793,0.32258,0.11587,2.25047,1.26987,0.80958,0.0014456,0.0014456,0.0014456
16,27.0279,2.36441,1.40847,0.77635,0.4581,0.44328,0.3583,0.1372,2.11794,1.26048,0.80181,0.001406,0.001406,0.001406
17,28.4607,2.19573,1.35219,0.7892,0.38464,0.37139,0.27373,0.08001,2.59445,1.32866,0.81366,0.0013664,0.0013664,0.0013664
18,29.8827,2.31732,1.43549,0.76899,0.45646,0.50069,0.37859,0.14903,2.06845,1.23037,0.80169,0.0013268,0.0013268,0.0013268
19,31.5305,2.09367,1.30927,0.78145,0.3917,0.39152,0.28414,0.0845,2.57212,1.31773,0.80751,0.0012872,0.0012872,0.0012872
20,32.9015,2.16006,1.29104,0.78753,0.43607,0.40694,0.31213,0.10498,2.34357,1.26775,0.80321,0.0012476,0.0012476,0.0012476
21,34.3347,2.21091,1.33329,0.77348,0.44377,0.47991,0.37606,0.15319,1.98628,1.22393,0.79923,0.001208,0.001208,0.001208
22,35.8329,2.28352,1.34626,0.77126,0.42185,0.41982,0.32294,0.11091,2.30314,1.25285,0.80167,0.0011684,0.0011684,0.0011684
23,37.4194,2.1393,1.30904,0.78122,0.44329,0.44402,0.35669,0.14277,2.03675,1.20184,0.80382,0.0011288,0.0011288,0.0011288
24,38.8603,2.01983,1.27833,0.77635,0.44707,0.44832,0.35301,0.14081,2.02192,1.19728,0.79843,0.0010892,0.0010892,0.0010892
25,40.2815,2.0928,1.26984,0.77541,0.44969,0.4751,0.38059,0.15564,2.00117,1.20559,0.80087,0.0010496,0.0010496,0.0010496
26,41.7407,2.03086,1.2393,0.78595,0.46617,0.49657,0.39635,0.16941,1.9107,1.18056,0.79721,0.00101,0.00101,0.00101
27,43.1937,2.03739,1.23645,0.78058,0.43455,0.44145,0.3502,0.13546,2.09077,1.2188,0.80333,0.0009704,0.0009704,0.0009704
28,44.8123,2.09744,1.27435,0.76873,0.45061,0.45604,0.37094,0.14961,2.00801,1.18024,0.80005,0.0009308,0.0009308,0.0009308
29,46.2615,2.01743,1.24717,0.77492,0.47975,0.45982,0.3936,0.17293,1.84303,1.15088,0.79711,0.0008912,0.0008912,0.0008912
30,47.7181,1.94013,1.22111,0.77268,0.46261,0.47861,0.39222,0.17657,1.80382,1.14815,0.79861,0.0008516,0.0008516,0.0008516
31,49.3863,1.98767,1.2209,0.77664,0.46346,0.48712,0.39697,0.16299,1.99987,1.17964,0.79766,0.000812,0.000812,0.000812
32,50.7825,2.00144,1.2233,0.77915,0.46633,0.46085,0.38793,0.17742,1.7546,1.14294,0.79655,0.0007724,0.0007724,0.0007724
33,52.2235,1.91222,1.21321,0.77613,0.46826,0.48339,0.40193,0.18749,1.74196,1.12679,0.79517,0.0007328,0.0007328,0.0007328
34,53.6623,1.85569,1.18595,0.77842,0.46962,0.5024,0.40718,0.16177,2.09835,1.21717,0.80049,0.0006932,0.0006932,0.0006932
35,55.0968,1.94236,1.21325,0.76856,0.46421,0.47133,0.38738,0.17684,1.71673,1.1365,0.79544,0.0006536,0.0006536,0.0006536
36,56.5892,1.95092,1.19597,0.77003,0.47665,0.48087,0.41062,0.17867,1.90156,1.14582,0.79709,0.000614,0.000614,0.000614
37,58.0863,1.90885,1.1791,0.7721,0.47288,0.48146,0.40722,0.18967,1.76157,1.12091,0.79552,0.0005744,0.0005744,0.0005744
38,59.6026,1.89787,1.19864,0.77135,0.46293,0.45214,0.37638,0.15163,1.99086,1.16256,0.7977,0.0005348,0.0005348,0.0005348
39,61.0655,1.89249,1.21426,0.76562,0.48603,0.46205,0.39984,0.18241,1.76625,1.13083,0.79562,0.0004952,0.0004952,0.0004952
40,62.6656,1.82277,1.14332,0.78707,0.47893,0.46703,0.40002,0.16843,1.93527,1.14401,0.79586,0.0004556,0.0004556,0.0004556
41,65.8445,1.8918,1.35649,0.78696,0.48728,0.45879,0.40623,0.19243,1.69875,1.11744,0.79488,0.000416,0.000416,0.000416
42,67.3789,1.8107,1.22305,0.78923,0.49883,0.44965,0.41367,0.1924,1.78686,1.16317,0.79456,0.0003764,0.0003764,0.0003764
43,68.7386,1.80802,1.30929,0.77757,0.49126,0.44265,0.40334,0.19914,1.60555,1.14656,0.79258,0.0003368,0.0003368,0.0003368
44,70.089,1.64473,1.15987,0.7826,0.46298,0.42891,0.36423,0.14946,1.99416,1.16813,0.79606,0.0002972,0.0002972,0.0002972
45,71.3739,1.70722,1.14514,0.78954,0.47719,0.48521,0.40432,0.19362,1.66336,1.11168,0.79281,0.0002576,0.0002576,0.0002576
46,72.6597,1.66943,1.12626,0.79623,0.47947,0.48523,0.40043,0.19196,1.63304,1.10637,0.79255,0.000218,0.000218,0.000218
47,73.9163,1.6387,1.12659,0.78903,0.47932,0.48558,0.39937,0.19296,1.61726,1.10343,0.79255,0.0001784,0.0001784,0.0001784
48,75.3416,1.64293,1.13076,0.79227,0.48328,0.49897,0.4073,0.20517,1.54323,1.08677,0.79172,0.0001388,0.0001388,0.0001388
49,76.7103,1.61785,1.11357,0.78689,0.47203,0.48644,0.39149,0.19039,1.59906,1.0973,0.7924,9.92e-05,9.92e-05,9.92e-05
50,78.0312,1.60018,1.12998,0.78811,0.47138,0.48558,0.39441,0.19654,1.56307,1.09066,0.79211,5.96e-05,5.96e-05,5.96e-05
