Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
13,2,174,95,1368,143.607168
13,4,358,158,1624,170.481024
13,5,612,125,1768,185.597568
13,6,521,61,1254,131.639904
13,7,768,12,785,82.40616
13,8,610,300,1382,145.076832
13,9,659,133,966,101.406816
13,10,753,181,979,102.771504
13,11,227,305,1161,121.877136
13,12,424,290,1373,144.132048
13,13,301,387,1294,135.838944
13,14,275,481,1023,107.390448
13,15,586,361,1168,122.611968
13,16,441,450,1017,106.760592
14,1,319,168,860,90.27936
14,2,189,90,1260,132.26976
14,4,353,172,1564,164.182464
14,5,612,122,1720,180.55872
14,6,512,64,1250,131.22
14,7,768,11,704,73.903104
14,8,611,312,1335,140.14296
14,9,658,129,1000,104.976
14,10,748,173,984,103.296384
14,11,220,304,1133,118.937808
14,12,416,282,1336,140.247936
14,13,291,386,1195,125.44632
14,14,267,483,1037,108.860112
14,15,592,351,1099,115.368624
14,16,435,450,1023,107.390448
15,1,326,158,894,93.848544
15,2,203,88,1256,131.849856
15,4,348,186,1563,164.077488
15,5,611,121,1810,190.00656
15,6,505,70,1215,127.54584
15,7,765,15,872,91.539072
15,8,616,321,834,87.549984
15,9,660,127,1076,112.954176
15,10,747,170,937,98.362512
15,11,209,306,1183,124.186608
15,12,406,275,1401,147.071376
15,13,278,384,1267,133.004592
15,14,255,486,1018,106.865568
15,15,600,342,1201,126.076176
15,16,429,452,1041,109.280016
16,1,336,148,966,101.406816
16,2,215,87,1190,124.92144
16,4,342,199,1458,153.055008
16,5,609,117,1801,189.061776
16,6,497,75,1205,126.49608
16,7,763,17,920,96.57792
16,8,620,344,918,96.367968
16,9,659,116,1062,111.484512
16,10,748,167,957,100.462032
16,11,203,306,1131,118.727856
16,12,399,267,1355,142.24248
16,13,268,383,1248,131.010048
16,14,248,485,1044,109.594944
16,15,605,332,1161,121.877136
16,16,423,453,1049,110.119824
17,1,348,140,1009,105.920784
17,2,228,85,1114,116.943264
17,4,334,211,1380,144.86688
17,5,606,114,1798,188.746848
17,6,490,80,1230,129.12048
17,7,760,22,965,101.30184
17,8,616,358,1136,119.252736
17,9,659,101,1043,109.489968
17,10,749,171,956,100.357056
17,11,198,306,1137,119.357712
17,12,388,259,1333,139.933008
17,13,257,382,1244,130.590144
17,14,237,483,996,104.556096
17,15,610,321,1016,106.655616
17,16,417,455,1028,107.915328
18,1,358,131,991,104.031216
18,2,240,84,1055,110.74968
18,4,328,222,1448,152.005248
18,5,604,111,1781,186.962256
18,6,484,85,1265,132.79464
18,7,758,26,1011,106.130736
18,8,616,370,1395,146.44152
18,9,655,86,1035,108.65016
18,10,753,179,980,102.87648
18,11,191,305,1134,119.042784
18,12,382,251,1367,143.502192
18,13,247,379,1287,135.104112
18,14,231,479,1040,109.17504
18,15,614,313,1149,120.617424
18,16,412,457,1035,108.65016
19,1,366,124,920,96.57792
19,2,251,84,1028,107.915328
19,4,321,235,1280,134.36928
19,5,600,109,1796,188.536896
19,6,478,91,1297,136.153872
19,7,756,31,1012,106.235712
19,8,616,382,1391,146.021616
19,9,650,74,1070,112.32432
19,10,760,187,982,103.086432
19,11,186,302,1137,119.357712
19,12,372,243,1388,145.706688
19,13,237,377,1223,128.385648
19,14,225,474,992,104.136192
19,15,619,302,1123,117.888048
19,16,407,460,1086,114.003936
20,1,369,120,939,98.572464
20,2,264,82,1013,106.340688
20,4,316,246,1367,143.502192
20,5,597,107,1809,189.901584
20,6,473,97,1287,135.104112
20,7,753,36,995,104.45112
20,8,617,395,1359,142.662384
20,9,644,61,1045,109.69992
20,10,767,194,980,102.87648
20,11,177,297,1223,128.385648
20,12,366,235,1367,143.502192
20,13,226,373,1259,132.164784
20,14,218,465,1010,106.02576
20,15,624,292,1141,119.777616
20,16,402,462,1047,109.909872
21,1,366,122,943,98.992368
21,2,275,79,1049,110.119824
21,4,309,257,1510,158.51376
21,5,594,105,1742,182.868192
21,6,469,103,1302,136.678752
21,7,750,40,1003,105.290928
21,8,617,407,1387,145.601712
21,9,636,50,1079,113.269104
21,10,771,198,1110,116.52336
21,11,169,294,1174,123.241824
21,12,359,226,1385,145.39176
21,13,218,369,1296,136.048896
21,14,215,458,1056,110.854656
21,15,631,279,1165,122.29704
21,16,396,466,1055,110.74968
22,1,362,129,1046,109.804896
22,2,288,77,1141,119.777616
22,4,304,269,1683,176.674608
22,5,590,105,1778,186.647328
22,6,464,112,1261,132.374736
22,7,746,44,940,98.67744
22,8,617,419,1388,145.706688
22,9,630,41,1108,116.313408
22,10,775,202,1138,119.462688
22,11,165,291,1180,123.87168
22,12,351,221,1414,148.436064
22,13,210,365,1310,137.51856
22,14,211,449,1043,109.489968
22,15,637,270,1158,121.562208
22,16,393,470,1067,112.009392
23,1,359,136,1096,115.053696
23,2,300,72,1223,128.385648
23,4,298,279,1797,188.641872
23,5,585,104,1706,179.089056
23,6,461,118,1225,128.5956
23,7,742,47,998,104.766048
23,8,615,433,1317,138.253392
23,9,619,34,1066,111.904416
23,10,778,205,1219,127.965744
23,11,160,287,1191,125.026416
23,12,342,215,1382,145.076832
23,13,202,361,1285,134.89416
23,14,209,440,1033,108.440208
23,15,643,258,1189,124.816464
23,16,387,473,1043,109.489968
24,1,357,141,1140,119.67264
24,2,312,68,1303,136.783728
24,4,292,291,1865,195.78024
24,5,582,104,1739,182.553264
24,6,458,127,1245,130.69512
24,7,738,50,974,102.246624
24,8,616,445,1378,144.656928
24,9,615,30,1034,108.545184
24,10,782,210,1143,119.987568
24,11,156,282,1213,127.335888
24,12,333,210,1350,141.7176
24,13,195,358,1282,134.579232
24,14,210,434,1051,110.329776
24,15,647,251,1178,123.661728
24,16,383,478,1047,109.909872
25,1,353,144,1134,119.042784
25,2,324,65,1338,140.457888
25,4,284,301,1826,191.686176
25,5,578,105,1714,179.928864
25,6,456,134,1278,134.159328
25,7,734,54,943,98.992368
25,8,615,456,1429,150.010704
25,9,611,25,1010,106.02576
25,10,788,218,1217,127.755792
25,11,151,277,1206,126.601056
25,12,325,206,1353,142.032528
25,13,189,353,1255,131.74488
25,14,213,425,1043,109.489968
25,15,648,242,1184,124.291584
25,16,379,482,1042,109.384992
26,1,345,148,1122,117.783072
26,2,337,61,1329,139.513104
