epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.95747,5.24194,5.00339,1.54801,0.00178,0.00549,0.00089,0.0002,3.92593,3.70062,0.86267,0.00026,0.00026,0.00026
2,6.73783,3.36723,2.7298,0.84623,0.00233,0.00721,0.00119,0.00023,3.22261,3.60297,0.83979,0.000529308,0.000529308,0.000529308
3,8.50874,2.99249,2.01243,0.81789,0.01072,0.03314,0.00597,0.00151,3.86406,3.37694,0.84447,0.000787528,0.000787528,0.000787528
4,10.1695,2.69219,1.73658,0.80683,0.02189,0.06765,0.01992,0.00795,3.71824,3.1785,0.83268,0.00103466,0.00103466,0.00103466
5,11.8181,2.72687,1.72149,0.7966,0.04167,0.12878,0.0248,0.00564,3.8428,2.88527,0.85676,0.0012707,0.0012707,0.0012707
6,13.4136,2.61126,1.58935,0.79729,0.09944,0.30735,0.09472,0.02553,3.12956,2.55553,0.81759,0.00149566,0.00149566,0.00149566
7,15.046,2.66407,1.61529,0.79152,0.07144,0.22081,0.06928,0.01298,3.78619,2.33466,0.83499,0.00170953,0.00170953,0.00170953
8,16.7048,2.51863,1.55108,0.78931,0.01156,0.03571,0.00721,0.00116,4.64561,2.25046,0.86926,0.0017228,0.0017228,0.0017228
9,18.2886,2.47502,1.50692,0.79136,0.42164,0.3362,0.28083,0.09712,2.26385,1.57045,0.80604,0.0016832,0.0016832,0.0016832
10,19.9331,2.33078,1.46793,0.78695,0.43365,0.32,0.29242,0.08916,2.54909,1.54343,0.80743,0.0016436,0.0016436,0.0016436
11,21.5321,2.37041,1.4645,0.79119,0.42787,0.29035,0.25887,0.08119,2.52299,1.52076,0.80864,0.001604,0.001604,0.001604
12,23.1414,2.31882,1.43324,0.78815,0.34968,0.30598,0.21409,0.04677,3.1689,1.44386,0.81988,0.0015644,0.0015644,0.0015644
13,24.7685,2.25028,1.39981,0.78187,0.40608,0.41277,0.30868,0.10073,2.43182,1.35356,0.80589,0.0015248,0.0015248,0.0015248
14,26.3973,2.28102,1.38665,0.78396,0.31841,0.2749,0.18757,0.04152,3.18343,1.48649,0.81415,0.0014852,0.0014852,0.0014852
15,27.9958,2.35921,1.41245,0.78065,0.42275,0.41793,0.32258,0.11587,2.25047,1.26987,0.80958,0.0014456,0.0014456,0.0014456
16,29.6459,2.36441,1.40847,0.77635,0.4581,0.44328,0.3583,0.1372,2.11794,1.26048,0.80181,0.001406,0.001406,0.001406
17,31.2489,2.19573,1.35219,0.7892,0.38464,0.37139,0.27373,0.08001,2.59445,1.32866,0.81366,0.0013664,0.0013664,0.0013664
18,32.8582,2.31732,1.43549,0.76899,0.45646,0.50069,0.37859,0.14903,2.06845,1.23037,0.80169,0.0013268,0.0013268,0.0013268
19,34.4799,2.09367,1.30927,0.78145,0.3917,0.39152,0.28414,0.0845,2.57212,1.31773,0.80751,0.0012872,0.0012872,0.0012872
20,36.066,2.16006,1.29104,0.78753,0.43607,0.40694,0.31213,0.10498,2.34357,1.26775,0.80321,0.0012476,0.0012476,0.0012476
21,37.6392,2.21091,1.33329,0.77348,0.44377,0.47991,0.37606,0.15319,1.98628,1.22393,0.79923,0.001208,0.001208,0.001208
22,39.2778,2.28352,1.34626,0.77126,0.42185,0.41982,0.32294,0.11091,2.30314,1.25285,0.80167,0.0011684,0.0011684,0.0011684
23,40.8722,2.1393,1.30904,0.78122,0.44329,0.44402,0.35669,0.14277,2.03675,1.20184,0.80382,0.0011288,0.0011288,0.0011288
24,42.5493,2.01983,1.27833,0.77635,0.44707,0.44832,0.35301,0.14081,2.02192,1.19728,0.79843,0.0010892,0.0010892,0.0010892
25,44.1292,2.0928,1.26984,0.77541,0.44969,0.4751,0.38059,0.15564,2.00117,1.20559,0.80087,0.0010496,0.0010496,0.0010496
26,45.7437,2.03086,1.2393,0.78595,0.46617,0.49657,0.39635,0.16941,1.9107,1.18056,0.79721,0.00101,0.00101,0.00101
27,47.3429,2.03739,1.23645,0.78058,0.43455,0.44145,0.3502,0.13546,2.09077,1.2188,0.80333,0.0009704,0.0009704,0.0009704
28,48.9422,2.09744,1.27435,0.76873,0.45061,0.45604,0.37094,0.14961,2.00801,1.18024,0.80005,0.0009308,0.0009308,0.0009308
29,50.5261,2.01743,1.24717,0.77492,0.47975,0.45982,0.3936,0.17293,1.84303,1.15088,0.79711,0.0008912,0.0008912,0.0008912
30,52.3725,1.94013,1.22111,0.77268,0.46261,0.47861,0.39222,0.17657,1.80382,1.14815,0.79861,0.0008516,0.0008516,0.0008516
31,54.0174,1.98767,1.2209,0.77664,0.46346,0.48712,0.39697,0.16299,1.99987,1.17964,0.79766,0.000812,0.000812,0.000812
32,55.5923,2.00144,1.2233,0.77915,0.46633,0.46085,0.38793,0.17742,1.7546,1.14294,0.79655,0.0007724,0.0007724,0.0007724
33,57.212,1.91222,1.21321,0.77613,0.46826,0.48339,0.40193,0.18749,1.74196,1.12679,0.79517,0.0007328,0.0007328,0.0007328
34,58.8319,1.85569,1.18595,0.77842,0.46962,0.5024,0.40718,0.16177,2.09835,1.21717,0.80049,0.0006932,0.0006932,0.0006932
35,60.4008,1.94236,1.21325,0.76856,0.46421,0.47133,0.38738,0.17684,1.71673,1.1365,0.79544,0.0006536,0.0006536,0.0006536
